from_,to_,flow,cost
192,191,210.0,0.7965719142849722
192,193,131.11212994577363,0.010000000397364
192,194,343.0,0.010000000397364
193,192,103.0,0.010000000397364
193,194,9.0,0.010000000397364
193,224,172.11212994577363,0.7594042962716602
194,192,107.0,0.010000000397364
194,193,41.0,0.010000000397364
194,195,352.0,0.6057653817725833
195,16,110.0,1.8800000508626002
195,194,148.0,0.6031416970579134
195,196,1151.0,0.5880851535277566
196,195,258.0,0.3786213881090484
196,198,613.113686988283,1.3767117425866158
196,209,537.8863130117169,2.4348969954149786
197,14,39.0,1.1200000762939
197,198,470.8852182117407,1.2816035117954094
198,168,0.0,1.6434783935547
198,196,123.0,1.2001349187374994
198,197,39.0,1.2260878032535545
198,199,1083.9989052000237,0.3679182409894921
199,12,255.0,1.2
199,198,162.0,0.3392609571453085
199,200,1038.9989052000237,1.5328398329908164
200,11,174.0,1.5600001017253
200,199,273.0,0.6023777869693501
200,201,1268.9989052000235,0.3667742348952623
201,165,330.59788857807877,1.524713723806481
201,200,317.0,0.31546230426191263
201,202,513.254358887556,0.6121022361327906
201,206,792.1785711308695,0.4261165515584857
202,201,0.0,0.57391307664954
202,203,513.254358887556,0.6399250369058871
203,160,431.4286571664634,0.7528045204184227
203,202,0.0,0.60000000829282
203,204,609.2087969010536,0.17892236112293047
203,207,484.0,0.8775175284097613
204,161,0.0,1.5652173913043
204,203,0.0,0.15652174535005
204,205,707.2087969010536,0.20014550391698496
205,204,0.0,0.15652174535005
205,208,226.52101723126546,0.9652924793261992
205,839,1339.907077001786,0.5862113072968635
206,201,269.0,0.41893985278569296
206,207,792.1785711308695,0.4793811099205693
207,203,527.383095179961,0.8974966483386595
207,206,269.0,0.4713073239794127
207,208,1404.6256405031236,0.3976243234597097
207,354,270.5529306277458,0.544355751505565
208,205,632.6982801007325,0.9726072544839383
208,207,592.3148298109518,0.35255431624398104
208,211,806.0,0.5335220405198178
208,260,1318.7949262443944,1.1570638693605824
209,196,135.0,1.6497139664574605
209,210,537.8863130117169,0.010000000397364
210,209,135.0,0.010000000397364
210,354,537.8863130117169,0.6570356932750793
211,208,1179.1645962534458,0.5862438850615983
211,1036,806.0,1.307129067114416
212,25,363.4470693722542,0.8
212,227,905.0,2.5451062209115536
212,1037,1179.1645962534458,0.35174634501410273
213,21,57.0,3.7600001017253
213,214,124.0,0.6545454546505033
213,1033,80.0,0.30545456626440703
214,213,123.0,0.6545454546448207
214,215,6.0,0.010000000397364
214,216,118.0,0.010000000397364
215,179,106.0,2.768116089793032
215,214,43.0,0.010000000397364
215,216,234.27987433240924,0.010000000397364
216,214,80.0,0.010000000397364
216,215,100.0,0.010000000397364
216,217,352.2798743324093,2.6666675850266044
217,216,180.0,2.6666667141103315
217,218,352.2798743324093,0.010000000397364
218,217,180.0,0.010000000397364
218,219,352.2798743324093,0.6521741746996861
219,218,180.0,0.6521739617038464
219,220,227.0,1.3850111395123228
219,221,677.4470693722541,1.2753936617695631
219,1049,274.0,1.3757670006966354
220,19,170.0,1.2800000508626
220,188,95.0,1.4348334671439575
220,219,699.167195039845,1.7487556693187456
221,219,233.0,1.2753624202598288
221,222,9.0,0.010000000397364
221,223,668.4470693722541,0.010000000397364
222,221,31.0,0.010000000397364
222,223,433.11212994577363,0.010000000397364
222,224,60.0,1.70370550611016
223,221,202.0,0.010000000397364
223,222,51.0,0.010000000397364
223,225,1101.5591993180278,0.754077223351553
224,16,71.0,1.3200000762939
224,193,112.0,0.7592766120600258
224,222,464.11212994577363,1.7475602978872045
225,28,153.0,1.4800000508626
225,223,253.0,0.7536232349931657
225,226,1156.5591993180278,0.8905492592286705
226,225,347.0,0.8840582908727078
226,227,133.4470693722542,0.010000000397364
226,228,168.0,0.010000000397364
226,229,855.1121299457736,0.010000000397364
227,212,764.7936179829921,2.495978039018115
227,226,91.0,0.010000000397364
227,228,569.0,0.010000000397364
227,229,245.0,0.010000000397364
228,226,7.0,0.010000000397364
228,227,525.346548610738,0.010000000397364
228,229,171.1836568502913,0.010000000397364
228,230,957.0,0.6294048990823407
229,226,249.0,0.010000000397364
229,227,106.0,0.010000000397364
229,228,220.0,0.010000000397364
229,249,1271.2957867960647,0.4354556925464471
230,228,703.5302054610293,0.6151082646490498
230,231,957.0,1.4686113705610575
231,230,681.5302054610293,1.4338970680169616
231,232,957.0,0.010000000397364
232,231,681.5302054610293,0.010000000397364
232,233,957.0,0.4958947524382316
233,29,285.0,0.52000001271566
233,232,681.5302054610293,0.4841730397978117
233,234,732.0,0.4666471326833837
234,233,741.530205461029,0.4668903992720885
234,235,732.0,0.010000000397364
235,234,741.530205461029,0.010000000397364
235,236,732.0,0.7093036321847717
236,235,741.530205461029,0.7096733973946538
236,237,0.0,0.8869565880816899
236,239,997.0,2.4628755821211428
236,245,487.4697945389708,1.0162322638324586
237,31,123.0,3.8000002543132
237,236,151.0,0.8872058980671534
237,238,93.0,1.0956875221235147
238,28,19.0,1.8800000508626002
238,237,274.0,1.1000657583312925
238,1050,74.0,2.4608693475273675
239,31,513.0,1.6400000254313
239,236,1229.0,2.4918221670146528
239,240,770.0,0.7726376698420379
240,30,770.0,1.0400000254313002
240,239,0.0,0.28695653832477
240,242,0.0,5.4260870892069
241,134,23.0,2.0000001271566
241,242,14.0,0.4800000277579586
241,353,8.0,5.5652176124462
242,240,0.0,5.4260870892069
242,241,23.0,0.4800000279520836
242,243,14.0,2.6086958364672435
243,32,67.0,0.52000001271566
243,242,23.0,2.6086958366083324
243,244,90.0,1.3768118989102014
244,243,90.0,1.3768118989102014
244,245,637.0,0.94996111917027
244,246,428.4697945389708,0.4711322871455044
244,349,176.0,1.92633678962758
245,30,523.0,3.9200002034505
245,236,114.0,0.9652946939070411
245,244,526.4697945389707,0.8689811539800572
246,244,452.0,0.4734357077798533
246,247,428.4697945389708,0.010000000397364
247,246,452.0,0.010000000397364
247,248,428.4697945389708,1.3692282299928569
248,27,167.0,1.5200000762939
248,247,452.0,1.375922546311544
248,252,261.46979453897075,1.3205353130111113
249,229,575.0,0.434838460287392
249,250,1271.2957867960647,0.010000000397364
250,249,575.0,0.010000000397364
250,251,1271.2957867960647,0.8709113850928942
251,250,575.0,0.8695724591035604
251,252,16.0,0.010000000397364
251,253,1198.4281678343762,0.010000000397364
251,254,56.867618961689004,0.010000000397364
252,248,452.0,1.3463327969384151
252,251,15.0,0.010000000397364
252,253,163.52496932910438,0.010000000397364
252,254,82.94482520986637,0.010000000397364
253,251,560.0,0.010000000397364
253,252,352.0,0.010000000397364
253,254,0.0,0.010000000397364
253,284,1361.9531371634805,0.4067859505153775
254,251,0.0,0.010000000397364
254,252,84.0,0.010000000397364
254,253,0.0,0.010000000397364
254,255,139.8124441715554,0.8349489947948749
255,254,84.0,0.8347997162554651
255,256,139.8124441715554,1.121962716939659
255,283,0.0,0.99130439758301
256,255,84.0,1.1217621239014002
256,257,161.8124441715554,1.983367861267875
256,283,31.0,0.9913046333989216
257,26,142.0,1.8000001271566
257,256,115.0,1.982773827029788
257,258,127.8124441715554,0.5478992103968681
258,257,223.0,0.548705304105554
258,281,162.0,2.139953710541153
258,1038,970.8129834656211,0.7408759841407025
259,260,708.4967821682441,0.4755257295240855
259,1038,166.0,0.010000000397364
259,1047,966.7949262443943,0.010000000397364
260,26,434.0,2.2800000508626
260,208,539.4967821682441,1.1282875006688855
260,259,1132.7949262443944,0.5180921141765824
261,262,1567.3584954066318,0.8417798263088027
261,278,172.0,1.1316837354578793
261,1047,491.0,0.8881391649507379
262,22,380.0,0.68000005086263
262,261,431.0,0.7920633481514826
262,263,1537.1111275417716,0.5833733036068482
263,262,653.7526321351396,0.5523793756263654
263,264,1343.4556091305494,0.010000000397364
263,265,193.65551841122212,0.010000000397364
264,263,407.0,0.010000000397364
264,265,157.0,0.010000000397364
264,871,1868.4556091305494,0.6114591128087697
265,263,246.7526321351397,0.010000000397364
265,264,525.0,0.010000000397364
265,266,350.65551841122215,0.9505206388354348
266,24,329.0,1.1200000762939
266,265,771.7526321351396,1.3258169595536125
266,267,252.65551841122212,0.7305273497075336
267,266,750.7526321351396,0.9963105813934942
267,268,44.0,0.15652175339339253
267,269,1175.4965256289288,0.6731549384699468
268,267,532.7526321351397,0.15707756170911694
268,272,44.0,0.782608735868881
268,274,998.0,1.0798174084601675
269,268,1246.0,0.6155041681776572
269,270,1175.4965256289288,0.010000000397364
270,269,1246.0,0.010000000397364
270,271,319.0,0.010000000397364
270,356,3348.137622944086,0.9008505676237872
271,269,0.0,0.010000000397364
271,270,2172.6410973151574,0.010000000397364
271,272,319.0,0.8645235313652941
272,34,51.0,0.84000002543132
272,268,284.7526321351397,0.7863528825555299
272,271,2172.6410973151574,1.15726142081853
272,295,347.0,0.7206736739126266
273,33,121.0,1.1200000762939
273,267,1184.8410072177064,0.7455082075555403
274,33,0.0,1.1200000762939
274,275,1146.0,0.4248128220082981
275,276,222.24736786486028,0.15682202151344468
275,280,1261.0,0.37517308438932456
275,294,56.0,0.861019268685976
276,273,967.8410072177064,0.7628442243040274
276,275,158.0,0.15661259628241533
276,277,314.2473678648603,0.951923417275447
277,24,151.0,1.1200000762939
277,276,188.0,0.8976951355278546
277,278,237.24736786486028,0.29480700915307995
278,23,226.0,0.56000003814697
278,261,190.24736786486028,1.1358976886095982
278,277,137.0,0.2881028601258066
279,276,1029.8410072177066,0.3692455713621755
280,279,1029.8410072177066,0.16708889768089802
280,281,1261.0,1.217591146510373
281,258,951.0005392940656,2.2403034763606464
281,280,1029.8410072177066,1.1139259402759123
281,282,948.0,0.9829250855294625
281,293,494.0,0.3066798967258056
282,35,155.0,1.0800000508626
282,281,421.8410072177066,0.9403056210296378
282,283,948.0,0.6857127945892031
283,255,0.0,0.99130439758301
283,256,22.0,0.9913044485241798
283,282,576.8410072177066,0.6683008592259492
283,284,979.0,0.9569395704920034
284,253,912.0,0.4058676181204345
284,283,598.8410072177066,0.9286569825586964
284,285,1293.1121299457734,0.18873205588746872
285,27,1284.0,1.1200000762939
285,284,463.0,0.18840617842537466
285,286,411.11212994577363,0.608696226977457
286,285,797.0,0.6087391931873144
286,287,411.11212994577363,0.010000000397364
287,286,797.0,0.010000000397364
287,288,411.11212994577363,0.3333336426220338
288,287,797.0,0.3333571717365685
288,289,0.0,1.3304347991943
288,341,411.11212994577363,0.7391311195951215
289,38,0.0,2.5600001017253
289,288,0.0,1.3304347991943
289,290,611.3078929891782,1.3620230233808093
290,289,0.0,1.3304347991943
290,291,1584.0005392940654,0.5042163915971908
290,336,197.0,0.4816607911660676
291,290,197.0,0.3705082918368648
291,292,1584.0005392940654,0.010000000397364
292,291,197.0,0.010000000397364
292,293,1584.0005392940654,1.1092761256282444
293,35,510.0,1.4400000254313
293,281,1578.0005392940654,0.4013831152788571
293,292,197.0,0.8151182891536661
294,33,0.0,0.96000003814697
294,275,235.24736786486028,0.8837326974383096
294,299,56.0,0.861019268685976
295,33,205.0,1.2
295,272,2163.393729450297,0.9590600471767377
295,296,320.0,0.6483990657733198
296,295,2270.393729450297,0.924073286761784
296,297,0.0,0.010000000397364
296,298,320.0,0.010000000397364
297,296,0.0,0.010000000397364
297,298,56.0,0.010000000397364
297,299,235.24736786486028,0.5623753374369926
298,296,2270.393729450297,0.010000000397364
298,297,235.24736786486028,0.010000000397364
298,300,376.0,0.44457581049722905
299,294,235.24736786486028,0.8837326974383096
299,297,56.0,0.5479213377196898
300,36,149.0,0.6
300,298,2505.6410973151574,0.6532959728541319
300,301,357.0,0.5555726778285013
301,300,2073.6410973151574,1.3157832581997675
301,302,116.0,0.010000000397364
301,303,241.0,0.010000000397364
302,301,1422.061054540645,0.010000000397364
302,327,116.0,0.8889130713895459
303,301,651.5800427745124,0.010000000397364
303,302,0.0,0.010000000397364
303,304,241.0,0.6858763786146597
304,303,651.5800427745124,0.6882524799942661
304,305,144.0,1.1532861894721147
304,310,111.0,0.870389410604069
305,37,22.0,0.84000002543132
305,304,53.0,1.1479906824331911
305,306,189.0,0.7130355223904533
306,305,40.0,0.704385523905177
306,307,454.0,0.6111771130208101
306,380,1973.62005881832,0.7444303453491414
307,306,1787.62005881832,0.6868445133549569
307,308,309.0,0.010000000397364
307,309,145.0,0.010000000397364
308,307,956.62005881832,0.010000000397364
308,310,309.0,0.9259398124710088
309,307,831.0,0.010000000397364
309,308,0.0,0.010000000397364
309,313,145.0,1.4814819339812828
310,304,612.5800427745124,0.8732421409851395
310,308,956.62005881832,0.930537092495954
310,311,266.0,0.3338810406068139
310,328,638.0,0.7623220692768211
311,41,73.0,0.48000001907349
311,310,1119.0,0.354950285504784
311,312,220.0,1.000642814725223
312,42,90.0,1.5200000762939
312,311,787.0,1.0113847322373817
312,314,130.0,0.8704119217318381
313,42,58.0,1.3200000762939
313,309,831.0,1.4850593017138487
313,315,172.0,0.8333340045417432
314,312,519.0,0.8716358821177121
314,315,0.0,0.010000000397364
314,316,130.0,0.010000000397364
315,313,472.0,0.8334432504303957
315,314,0.0,0.010000000397364
315,316,172.0,0.010000000397364
316,314,519.0,0.010000000397364
316,315,472.0,0.010000000397364
316,317,302.0,0.7801712055066875
317,316,991.0,0.8054462964856381
317,318,302.0,0.010000000397364
318,317,991.0,0.010000000397364
318,319,302.0,0.8173222377879336
319,44,207.0,1.7600001017253
319,318,991.0,1.7065593053799262
319,320,221.0,0.3520831558247021
320,319,52.0,0.3518520506038676
320,321,211.0,1.8123755104946309
320,333,10.0,3.6521754307938936
321,46,11.0,0.7600000381469699
321,320,52.0,1.8115948285269217
321,322,282.73830457245634,1.3068435528587423
322,321,58.0,1.3043487035895318
322,323,0.0,0.010000000397364
322,324,8.0,0.010000000397364
322,325,274.7383045724564,0.010000000397364
323,322,0.0,0.010000000397364
323,324,7.0,0.010000000397364
323,325,506.11212994577363,0.010000000397364
323,326,231.0,2.246376857700069
324,137,22.0,2.0000001271566
324,322,0.0,0.010000000397364
324,323,0.0,0.010000000397364
324,325,4.0,0.010000000397364
325,322,58.0,0.010000000397364
325,323,231.0,0.010000000397364
325,324,7.0,0.010000000397364
325,423,784.8504345182301,3.1161433868260406
326,323,513.1121299457736,2.2463856490479794
326,335,231.0,1.0289855836512638
327,39,72.0,0.56000003814697
327,302,1422.061054540645,1.0773803757843234
327,328,265.0,0.29631184102028524
328,310,934.2001015928327,0.762606381324819
328,327,1183.0610545406453,0.32159825438979345
328,329,99.0,1.2592749823798235
328,337,945.0,1.5628305241108198
329,40,24.0,0.6
329,328,1343.2616954275436,1.4607141076876913
329,330,112.0,1.2222502076899413
330,329,934.2616954275436,1.2547092481249118
330,331,112.0,0.010000000397364
331,330,934.2616954275436,0.010000000397364
331,332,112.0,0.8148334717932672
332,43,70.0,0.92000001271566
332,331,934.2616954275436,0.8364728320832475
332,333,77.0,0.2592602059406939
333,320,0.0,3.6521739130435
333,332,351.26169542754366,0.2593140081424216
333,334,81.0,1.1739169690103477
334,46,21.0,0.7600000381469699
334,333,345.26169542754366,1.1801232624175826
334,335,113.0,1.3913293830947664
335,136,29.0,2.0000001271566
335,326,513.1121299457736,1.028989610656007
335,334,11.0,1.3913044032884092
335,348,266.0,1.7826088620121894
336,38,158.0,2.9600001017253
336,290,972.6926463048877,0.9620230233807932
336,337,39.0,1.5740743872302214
337,328,914.9994607059344,1.5617187040240756
337,336,336.00053929406573,1.5822818477245917
337,338,805.0,0.435174376916708
